table,reason,data_json,error
departments,skipped_existing,"{""code"": 0, ""description"": ""Sin departamento""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 2, ""description"": ""2%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 3, ""description"": ""3%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 4, ""description"": ""4%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 5, ""description"": ""5%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 6, ""description"": ""6%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 7, ""description"": ""7%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 8, ""description"": ""8%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 9, ""description"": ""9%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 10, ""description"": ""10%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 11, ""description"": ""11%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 12, ""description"": ""12%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 13, ""description"": ""13%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 15, ""description"": ""15%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 17, ""description"": ""17%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 18, ""description"": ""18%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 19, ""description"": ""19%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 20, ""description"": ""20%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 21, ""description"": ""21%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 22, ""description"": ""22%""}",UNIQUE constraint failed: departments.code
tickets,integrity_error,"{""ID"": 46, ""createdAt"": ""2024-10-25 12:43:35"", ""subTotal"": 76.0, ""total"": 100.0, ""profit"": 28.0, ""articleCount"": 5, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 47, ""createdAt"": ""2024-10-25 13:03:33"", ""subTotal"": 264.5, ""total"": 500.0, ""profit"": 58.0, ""articleCount"": 11, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 48, ""createdAt"": ""2024-10-25 13:04:36"", ""subTotal"": 20.0, ""total"": 20.0, ""profit"": 2.0, ""articleCount"": 1, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 49, ""createdAt"": ""2024-10-25 13:09:57"", ""subTotal"": 283.5, ""total"": 283.5, ""profit"": 50.0, ""articleCount"": 8, ""notes"": ""don victor"", ""discount"": 10.28}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 50, ""createdAt"": ""2024-10-25 13:31:57"", ""subTotal"": 258.0, ""total"": 258.0, ""profit"": 49.0, ""articleCount"": 6, ""notes"": """", ""discount"": 10.02}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 51, ""createdAt"": ""2024-10-25 13:31:58"", ""subTotal"": 258.0, ""total"": 258.0, ""profit"": 49.0, ""articleCount"": 6, ""notes"": """", ""discount"": 10.02}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 52, ""createdAt"": ""2024-10-25 13:35:52"", ""subTotal"": 152.0, ""total"": 152.0, ""profit"": 34.0, ""articleCount"": 3, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 53, ""createdAt"": ""2024-10-25 13:35:52"", ""subTotal"": 152.0, ""total"": 152.0, ""profit"": 34.0, ""articleCount"": 3, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 54, ""createdAt"": ""2024-10-25 13:38:51"", ""subTotal"": 172.0, ""total"": 172.0, ""profit"": 19.0, ""articleCount"": 8, ""notes"": ""PASTELERIA"", ""discount"": 1.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 55, ""createdAt"": ""2024-10-25 13:57:22"", ""subTotal"": 216.0, ""total"": 300.0, ""profit"": 44.0, ""articleCount"": 5, ""notes"": ""+"", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
